timestamp,timestamp_sample,device_id,sensor_sample_rate_hz,resolution_hz,peak_frequencies_x[0],peak_frequencies_x[1],peak_frequencies_x[2],peak_frequencies_y[0],peak_frequencies_y[1],peak_frequencies_y[2],peak_frequencies_z[0],peak_frequencies_z[1],peak_frequencies_z[2],peak_snr_x[0],peak_snr_x[1],peak_snr_x[2],peak_snr_y[0],peak_snr_y[1],peak_snr_y[2],peak_snr_z[0],peak_snr_z[1],peak_snr_z[2]
543525472,543524654,2490378,8039.878,15.702887,125.62309,nan,125.62309,nan,62.904057,nan,94.217316,94.217316,nan,6.9559135,nan,6.889794,nan,7.671898,nan,7.1000843,7.269953,nan
543535467,543534609,2490378,8039.878,15.702887,125.62309,nan,nan,nan,62.904057,nan,94.217316,94.217316,nan,6.8330936,nan,nan,nan,7.671898,nan,7.1000843,7.269953,nan
543609775,543609268,2490378,8039.878,15.702887,125.62309,nan,nan,nan,62.904057,nan,94.217316,nan,nan,6.8330936,nan,nan,nan,7.671898,nan,7.164732,nan,nan
543674756,543671484,2490378,8039.878,15.702887,125.62309,nan,nan,nan,62.904057,nan,94.217316,94.217316,nan,7.035261,nan,nan,nan,7.671898,nan,7.164732,7.0920725,nan
543704663,543703837,2490378,8039.878,15.702887,125.62309,nan,nan,nan,62.904057,nan,94.217316,94.217316,94.217316,7.035261,nan,nan,nan,7.671898,nan,7.164732,7.0920725,7.1127267
543739188,543736189,2490378,8039.878,15.702887,125.62309,nan,nan,nan,62.904057,nan,94.217316,94.217316,94.217316,7.035261,nan,nan,nan,7.671898,nan,6.725664,7.0920725,7.1127267
543804324,543800894,2490378,8039.878,15.702887,125.62309,nan,nan,nan,62.904057,nan,94.217316,94.217316,94.217316,7.035261,nan,nan,nan,7.671898,nan,6.725664,7.339967,7.1127267
543858640,543858133,2490378,8039.878,15.702887,125.62309,nan,nan,nan,62.96237,nan,94.217316,94.217316,94.217316,7.035261,nan,nan,nan,6.94251,nan,7.470718,7.339967,7.115547
543923620,543922838,2490378,8039.878,15.702887,125.62309,nan,nan,nan,62.96237,nan,94.217316,nan,94.217316,7.035261,nan,nan,nan,10.126605,nan,7.7444143,nan,7.115547
543968441,543965145,2490378,8039.878,15.702887,125.62309,nan,nan,nan,62.96237,nan,94.217316,nan,94.217316,8.2899475,nan,nan,nan,8.204399,nan,7.7444143,nan,7.115547
543983444,543982566,2490378,8039.878,15.702887,126.719696,nan,nan,nan,62.96237,nan,94.217316,94.217316,nan,8.556003,nan,nan,nan,8.204399,nan,7.7444143,7.0400095,nan
544077676,544077135,2490378,8039.878,15.702887,126.838905,nan,nan,nan,62.811546,nan,94.217316,94.217316,nan,7.1471953,nan,nan,nan,8.952228,nan,7.7444143,7.0400095,nan
544083143,544082112,2490378,8039.878,15.702887,126.838905,nan,nan,78.514435,62.811546,nan,94.217316,94.217316,nan,7.1471953,nan,nan,7.0545397,8.952228,nan,7.7444143,7.0400095,nan
544167279,544166726,2490378,8039.878,15.702887,126.838905,nan,nan,78.514435,62.811546,78.514435,94.217316,94.217316,nan,7.1471953,nan,nan,8.463189,8.952228,8.987561,7.484645,7.1304708,nan
544226987,544223965,2490378,8039.878,15.702887,126.838905,nan,nan,78.514435,62.811546,78.514435,94.217316,94.217316,94.217316,7.1471953,nan,nan,8.463189,6.74349,8.987561,7.484645,7.1304708,7.784379
544272054,544268761,2490378,8039.878,15.702887,126.838905,nan,nan,78.514435,62.811546,78.514435,94.217316,94.217316,94.217316,7.456541,nan,nan,6.5028296,7.4247246,8.987561,7.345862,7.1304708,7.784379
544301924,544301114,2490378,8039.878,15.702887,126.838905,nan,nan,78.514435,62.811546,78.514435,94.217316,94.217316,94.217316,7.001881,nan,nan,6.5028296,7.4247246,6.7414055,7.345862,7.0151496,7.784379
544371554,544368307,2490378,8039.878,15.702887,126.838905,nan,nan,78.514435,nan,78.514435,94.217316,94.217316,94.217316,7.001881,nan,nan,6.533181,nan,6.7414055,7.345862,7.0151496,7.784379
544411480,544410614,2490378,8039.878,15.702887,125.69457,nan,nan,78.514435,nan,78.514435,94.217316,94.217316,94.217316,12.15537,nan,nan,6.533181,nan,6.7414055,7.345862,7.0151496,7.784379
544475826,544475319,2490378,8039.878,15.702887,125.62309,nan,nan,78.514435,62.811546,nan,94.217316,94.217316,94.217316,10.070952,nan,nan,12.115188,7.176552,nan,7.345862,7.0151496,7.784379
544525739,544522604,2490378,8039.878,15.702887,124.75591,109.920204,125.62309,78.514435,62.811546,nan,94.217316,nan,nan,7.274666,10.181452,10.825969,6.8786364,10.217257,nan,7.6055517,nan,nan
544575410,544574865,2490378,8039.878,15.702887,124.75591,109.13043,125.62309,78.514435,62.811546,78.514435,94.217316,94.217316,nan,7.274666,10.320499,7.4246836,8.586523,10.217257,9.070986,7.6055517,7.352648,nan
544605289,544602241,2490378,8039.878,15.702887,124.75591,109.13043,126.7895,78.514435,62.88303,78.514435,94.217316,94.217316,94.217316,7.274666,10.320499,8.954624,8.586523,10.071953,9.070986,7.6055517,7.352648,7.181043
544674917,544671923,2490378,8039.878,15.702887,125.62309,109.13043,126.7895,78.514435,62.88303,78.514435,94.217316,94.217316,94.217316,7.0499887,10.320499,8.954624,8.586523,7.0658026,8.613055,7.6055517,7.352648,7.181043
544704799,544701787,2490378,8039.878,15.702887,125.62309,109.13043,126.7895,nan,62.88303,78.514435,94.217316,94.217316,94.217316,7.0499887,6.7032237,8.954624,nan,8.824996,8.613055,7.6055517,7.352648,7.181043
544769777,544766492,2490378,8039.878,15.702887,125.62309,109.13043,126.7895,78.514435,62.88303,78.514435,94.217316,94.217316,94.217316,7.0499887,6.7032237,8.954624,7.179024,8.824996,4.275763,7.6055517,7.352648,7.181043
