timestamp,accel_device_id,gyro_device_id,accel_clipping[0],accel_clipping[1],accel_clipping[2],accel_error_count,gyro_error_count,accel_rate_hz,gyro_rate_hz,accel_raw_rate_hz,gyro_raw_rate_hz,accel_vibration_metric,gyro_vibration_metric,delta_angle_coning_metric,mean_accel[0],mean_accel[1],mean_accel[2],mean_gyro[0],mean_gyro[1],mean_gyro[2],var_accel[0],var_accel[1],var_accel[2],var_gyro[0],var_gyro[1],var_gyro[2],temperature_accel,temperature_gyro
94505256,2490402,2490402,0,0,0,0,0,395.8828,395.8828,7917.6562,7917.6562,0.088718526,0.0017370823,2.363187e-11,-0.38732925,0.30112717,-9.870876,-0.007771054,0.023386357,-0.012847656,0.0012033395,0.0064321314,0.016792934,6.5844147e-06,1.1598304e-06,2.299814e-06,23.609903,23.609903
95515659,2490402,2490402,0,0,0,0,0,395.8828,395.8828,7917.6562,7917.6562,0.0955985,0.0022458232,4.1714215e-11,-0.32064396,0.3600987,-9.911689,-0.03720226,0.014771889,-0.014295686,0.0009098457,0.029428931,0.01670977,1.3892254e-05,1.1208981e-06,1.6806509e-05,23.618282,23.618282
96526039,2490402,2490402,0,0,0,0,0,395.8828,395.8828,7917.6562,7917.6562,0.103533484,0.0018200597,1.7683646e-11,-0.24733576,-0.20981766,-10.018369,-0.009527056,0.015527371,0.008155771,0.0016776344,0.014898213,0.007867127,1.5480859e-05,6.9701883e-07,6.357647e-06,23.611338,23.611338
97536431,2490402,2490402,0,0,0,0,0,395.8828,395.8828,7917.6562,7917.6562,0.08907762,0.0018091408,3.087216e-11,-0.348991,0.17098212,-9.911733,0.008273156,0.022514034,0.025554983,0.001463657,0.008356683,0.0055908393,7.5006783e-06,6.576526e-07,4.8396837e-06,23.622358,23.622358
98547079,2490402,2490402,0,0,0,0,0,395.8828,395.8828,7917.6562,7917.6562,0.090559684,0.001721971,3.1912195e-11,-0.38331282,0.45613968,-10.055678,-0.016787631,0.026402518,-0.017084887,0.0006848531,0.006614278,0.012709067,1.685698e-05,1.2576531e-06,9.136774e-07,23.641603,23.641603
99456376,2490402,2490402,0,0,0,0,0,395.8828,395.8828,7917.6562,7917.6562,0.091458425,0.0017729836,1.6551172e-11,-0.3517108,-0.20873421,-9.916296,-0.015286052,0.015941575,-0.005584574,0.00088783423,0.0031357126,0.028133225,5.354947e-06,2.5679346e-06,7.734132e-06,23.621902,23.621902
100466535,2490402,2490402,0,0,0,0,0,395.8828,395.8828,7917.6562,7917.6562,0.080017366,0.0015885767,2.4631809e-11,-0.3428899,0.09592311,-9.955012,-0.0012886282,0.016261447,0.023603601,0.00050417805,0.0030012133,0.012038984,3.933167e-06,1.0948578e-06,4.5072753e-07,23.62787,23.62787
101476932,2490402,2490402,0,0,0,0,0,395.8828,395.8828,7917.6562,7917.6562,0.08853063,0.0018071259,2.329041e-11,-0.298092,0.324001,-9.980205,-0.022993151,0.016573165,0.00815023,0.0005339106,0.002242582,0.020167384,5.4818274e-06,1.6337882e-06,2.3021034e-06,23.652023,23.652023
102487316,2490402,2490402,0,0,0,0,0,395.8828,395.8828,7917.6562,7917.6562,0.07743236,0.0016745091,2.3919974e-11,-0.35018983,0.12787911,-9.904553,-0.010191361,0.015381374,-0.012622194,0.0005062467,0.004216363,0.01349338,7.0684755e-06,1.7152247e-06,5.321188e-06,23.657755,23.657755
103497707,2490402,2490402,0,0,0,0,0,395.8828,395.8828,7917.6562,7917.6562,0.08091605,0.001611428,1.8427702e-11,-0.3417757,0.22429365,-9.931295,0.0016481047,0.018678827,0.0016613589,0.0007691692,0.0081043625,0.011310801,1.4636124e-05,1.4563676e-06,4.6053333e-06,23.655872,23.655872
