timestamp,time_utc_usec,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,heading,heading_offset,fix_type,jamming_state,vel_ned_valid,satellites_used,selected
55797046,1662721368499957,387262975,-775177601,63899,29305,0.12100001,0.018431898,0.223,0.342,0.47,0.76,83,12,7.3280005,-6.5480003,3.2900002,0.09900001,2.6768363,0,nan,0.0,3,1,1,29,0
56301044,1662721368999958,387262681,-775177409,63874,29280,0.116000004,0.016638223,0.22800002,0.347,0.47,0.76,83,12,7.3080006,-6.4800005,3.3780003,0.17400001,2.6630936,0,nan,0.0,3,1,1,29,0
56793127,1662721369499957,387262391,-775177210,63856,29262,0.12100001,0.018893538,0.23300001,0.35300002,0.47,0.76,77,11,7.2960005,-6.3640003,3.5670002,0.015000001,2.6354098,0,nan,0.0,3,1,1,29,0
57302048,1662721369999958,387262104,-775177000,63828,29234,0.120000005,0.019179072,0.238,0.35900003,0.47,0.76,77,11,7.334,-6.306,3.7450001,0.093,2.6106567,0,nan,0.0,3,1,1,29,0
57793442,1662721370499957,387261821,-775176780,63799,29205,0.11400001,0.016700706,0.24200001,0.36400002,0.47,0.76,77,11,7.419,-6.2960005,3.9240003,0.1,2.5876522,0,nan,0.0,3,1,1,29,0
58300045,1662721370999958,387261537,-775176554,63795,29201,0.112,0.016479224,0.245,0.367,0.47,0.76,77,11,7.4220004,-6.28,3.9540002,0.010000001,2.5799675,0,nan,0.0,3,1,1,29,0
58795046,1662721371499957,387261254,-775176327,63820,29225,0.11000001,0.016369792,0.24800001,0.37,0.47,0.76,76,12,7.419,-6.2920003,3.9320002,-0.042000003,2.5818381,0,nan,0.0,3,1,1,29,0
59300043,1662721371999957,387260970,-775176103,63845,29251,0.11000001,0.01623191,0.25100002,0.374,0.47,0.76,76,12,7.3980002,-6.326,3.8360002,-0.087000005,2.592586,0,nan,0.0,3,1,1,29,0
59793820,1662721372499956,387260686,-775175886,63842,29248,0.11400001,0.017343335,0.25300002,0.377,0.47,0.76,76,11,7.3370004,-6.3240004,3.7210002,-0.028,2.6065927,0,nan,0.0,3,1,1,29,0
60303043,1662721372999957,387260402,-775175677,63829,29234,0.11100001,0.018497,0.256,0.38000003,0.47,0.76,76,11,7.2790003,-6.328,3.5980003,0.009000001,2.6220021,0,nan,0.0,3,1,1,29,0
60795067,1662721373499956,387260116,-775175468,63821,29226,0.115,0.01905882,0.26000002,0.38300002,0.47,0.76,76,14,7.3110003,-6.3440003,3.634,-0.038000003,2.6201508,0,nan,0.0,3,1,1,29,0
61302306,1662721373999957,387259830,-775175253,63838,29244,0.120000005,0.020296955,0.263,0.38700002,0.48999998,0.82,76,14,7.3780003,-6.2830005,3.8680003,-0.025,2.5943751,0,nan,0.0,3,1,1,28,0
61794673,1662721374499956,387259548,-775175025,63854,29260,0.117000006,0.01939113,0.26700002,0.39100003,0.48999998,0.82,76,12,7.3630004,-6.1470003,4.053,-0.0050000004,2.563029,0,nan,0.0,3,1,1,28,0
62300045,1662721374999957,387259271,-775174788,63850,29256,0.113000005,0.017071938,0.27,0.39400002,0.48999998,0.82,76,12,7.425,-6.169,4.1330004,-0.020000001,2.5495782,0,nan,0.0,3,1,1,28,0
62794044,1662721375499956,387258994,-775174552,63828,29233,0.124000005,0.016571201,0.272,0.39600003,0.47,0.76,76,12,7.38,-6.1660004,4.0540004,0.036000002,2.5584085,0,nan,0.0,3,1,1,29,0
63298044,1662721375999956,387258717,-775174320,63796,29201,0.123,0.016567538,0.27400002,0.39800003,0.47,0.76,76,12,7.3960004,-6.229,3.9880002,-0.006,2.5689096,0,nan,0.0,3,1,1,29,0
63791043,1662721376499955,387258437,-775174093,63763,29168,0.127,0.015840083,0.277,0.4,0.47,0.76,76,10,7.3350005,-6.2250004,3.8790002,-0.017,2.5830426,0,nan,0.0,3,1,1,29,0
64298043,1662721376999956,387258158,-775173872,63737,29142,0.11800001,0.016038878,0.27800003,0.402,0.47,0.76,76,10,7.334,-6.2790003,3.7890003,-0.07,2.5956442,0,nan,0.0,3,1,1,29,0
64792062,1662721377499955,387257877,-775173653,63717,29122,0.11100001,0.018786548,0.28,0.404,0.47,0.76,76,16,7.3020005,-6.2040005,3.8500001,0.025,2.5886996,0,nan,0.0,3,2,1,29,0
65297045,1662721377999956,387257599,-775173432,63679,29085,0.10700001,0.01800691,0.282,0.40500003,0.47,0.76,76,16,7.254,-6.1320004,3.8750002,0.031000001,2.5800185,0,nan,0.0,3,2,1,29,0
65791105,1662721378499955,387257324,-775173208,63639,29045,0.10700001,0.018344631,0.284,0.40500003,0.47,0.76,75,11,7.2290006,-6.083,3.9070003,0.07,2.5712779,0,nan,0.0,3,1,1,29,0
66298067,1662721378999956,387257052,-775172982,63589,28995,0.108,0.01740669,0.28500003,0.40600002,0.47,0.76,75,11,7.235,-6.078,3.926,0.098000005,2.5664752,0,nan,0.0,3,1,1,29,0
66794043,1662721379499954,387256777,-775172759,63529,28935,0.10700001,0.016792161,0.286,0.40600002,0.47,0.76,75,10,7.2120004,-6.1120005,3.8290002,0.079,2.5809329,0,nan,0.0,3,1,1,29,0
67303114,1662721379999955,387256498,-775172542,63494,28899,0.108,0.017818416,0.287,0.407,0.47,0.76,75,10,7.2650003,-6.2650003,3.6780002,0.032,2.607005,0,nan,0.0,3,1,1,29,0
67797053,1662721380499954,387256215,-775172331,63485,28890,0.11100001,0.016855692,0.28800002,0.407,0.47,0.76,75,12,7.2530003,-6.2840004,3.6220002,-0.009000001,2.6171923,0,nan,0.0,3,1,1,29,0
68303047,1662721380999955,387255929,-775172121,63478,28883,0.105000004,0.016781863,0.289,0.40800002,0.47,0.76,75,12,7.2950006,-6.314,3.653,-0.034,2.617923,0,nan,0.0,3,1,1,29,0
68795042,1662721381499954,387255642,-775171909,63473,28878,0.10300001,0.016692853,0.29000002,0.409,0.47,0.76,75,11,7.3670006,-6.3680005,3.703,0.097,2.6145706,0,nan,0.0,3,1,1,29,0
69303311,1662721381999955,387255357,-775171690,63448,28853,0.104,0.016948193,0.291,0.409,0.47,0.76,75,11,7.3880005,-6.3230004,3.821,0.10700001,2.5978513,0,nan,0.0,3,1,1,29,0
69794043,1662721382499954,387255072,-775171466,63425,28831,0.105000004,0.016392656,0.29200003,0.409,0.47,0.76,75,15,7.4290004,-6.3440003,3.8660002,0.12100001,2.5919924,0,nan,0.0,3,1,1,29,0
70299044,1662721382999955,387254782,-775171248,63390,28795,0.10300001,0.015794355,0.29200003,0.409,0.47,0.76,75,15,7.431,-6.438,3.7120001,0.126,2.6161926,0,nan,0.0,3,1,1,29,0
70794043,1662721383499953,387254487,-775171038,63366,28771,0.106000006,0.01579261,0.29200003,0.409,0.47,0.76,75,17,7.472,-6.563,3.5720003,0.09200001,2.6408477,0,nan,0.0,3,1,1,29,0
71301042,1662721383999954,387254188,-775170835,63361,28766,0.105000004,0.015391534,0.29200003,0.409,0.47,0.76,75,17,7.464,-6.6120005,3.463,0.029000001,2.6566367,0,nan,0.0,3,1,1,29,0
71793044,1662721384499953,387253888,-775170634,63372,28777,0.10700001,0.0166843,0.29200003,0.409,0.47,0.76,74,14,7.5350003,-6.6650004,3.515,-0.0050000004,2.6562867,0,nan,0.0,3,1,1,29,0
72301043,1662721384999954,387253588,-775170433,63376,28782,0.11000001,0.01619299,0.293,0.409,0.47,0.76,74,14,7.511,-6.637,3.5170002,0.058000002,2.6546364,0,nan,0.0,3,1,1,29,0
72793042,1662721385499953,387253289,-775170231,63389,28794,0.10700001,0.015665552,0.293,0.41000003,0.47,0.76,74,12,7.4690003,-6.5740004,3.5470002,-0.023000002,2.6484149,0,nan,0.0,3,1,1,29,0
73299044,1662721385999954,387252994,-775170027,63374,28779,0.117000006,0.0147375595,0.293,0.41000003,0.47,0.76,74,12,7.3940005,-6.5060005,3.5140002,0.072000004,2.646323,0,nan,0.0,3,1,1,29,0
73793042,1662721386499953,387252702,-775169825,63358,28763,0.134,0.0165815,0.293,0.41300002,0.47,0.76,74,11,7.3780003,-6.497,3.4970002,-0.028,2.6471586,0,nan,0.0,3,1,1,29,0
74299044,1662721386999954,387252410,-775169625,63342,28748,0.143,0.017013643,0.29500002,0.416,0.47,0.76,74,11,7.3640003,-6.4960003,3.469,0.040000003,2.6501677,0,nan,0.0,3,1,1,29,0
74794043,1662721387499952,387252118,-775169425,63351,28756,0.133,0.01802349,0.29700002,0.42000002,0.47,0.76,74,10,7.3870006,-6.4760003,3.5540001,-0.05,2.6413696,0,nan,0.0,3,1,1,29,0
75301044,1662721387999953,387251829,-775169219,63356,28761,0.119,0.017072113,0.29900002,0.42100003,0.47,0.76,74,10,7.3380003,-6.3950005,3.5980003,-0.061000004,2.6290107,0,nan,0.0,3,1,1,29,0
75793046,1662721388499952,387251541,-775169014,63361,28766,0.112,0.015788423,0.29900002,0.42200002,0.47,0.76,74,12,7.3,-6.393,3.5260003,-0.008,2.6365392,0,nan,0.0,3,1,1,29,0
76300043,1662721388999953,387251253,-775168816,63364,28769,0.112,0.0167679,0.3,0.42200002,0.47,0.76,74,12,7.255,-6.4280005,3.364,-0.011000001,2.6557894,0,nan,0.0,3,1,1,29,0
76794125,1662721389499952,387250964,-775168626,63350,28755,0.11400001,0.015715118,0.3,0.42200002,0.47,0.76,74,20,7.2190003,-6.431,3.279,0.035,2.6699715,0,nan,0.0,3,1,1,29,0
77303044,1662721389999953,387250674,-775168439,63327,28732,0.11100001,0.015724193,0.29900002,0.42200002,0.47,0.76,74,20,7.1840005,-6.4360003,3.1910002,0.075,2.6787364,0,nan,0.0,3,1,1,29,0
77796235,1662721390499952,387250384,-775168253,63280,28685,0.113000005,0.016718857,0.29900002,0.423,0.47,0.76,74,11,7.1570005,-6.4010005,3.2020001,0.063,2.6770022,0,nan,0.0,3,1,1,29,0
78301234,1662721390999953,387250094,-775168068,63242,28647,0.112,0.015261158,0.29900002,0.42200002,0.47,0.76,74,11,7.1830006,-6.4150004,3.2300003,0.060000002,2.6748753,0,nan,0.0,3,1,1,29,0
